,Unnamed: 0,pubchem id,common name,flavor profile
68,68.0,999,Phenylacetic Acid,"{'sweet', 'honey', 'civet', 'floral', 'sour', 'flower', 'waxy', 'honeysuckle'}"
69,69.0,1001,Phenethylamine,"{'fishy', 'ammoniacal'}"
70,70.0,1030,"1,2-propanediol","{'alcoholic', 'odorless', 'very slight'}"
71,71.0,1031,1-propanol,"{'alcoholic', 'pungent', 'fermented', 'peanut', 'fusel', 'alcohol', 'musty'}"
72,72.0,1032,propionic acid,"{'vinegar', 'rancid', 'pungent', 'soy', 'acidic', 'cheesy'}"
73,73.0,1049,Pyridine,"{'sickening', 'rancid', 'amine', 'putrid', 'fishy', 'sour'}"
74,74.0,1060,Pyruvic acid,"{'sour', 'acetic', 'caramellic', 'sharp'}"
75,75.0,1068,dimethyl sulfide,"{'sweet corn', 'sulfury', 'green', 'cabbage', 'onion', 'vegetable', 'gasoline', 'wild', 'radish', 'sulfur', 'tomato', 'sulfurous'}"
76,76.0,1103,spermine,{''}
77,77.0,1110,succinic acid,"{'sour', 'odorless'}"
78,78.0,1119,sulfur dioxide,{'bitter'}
79,79.0,1123,taurine,"{'bland', 'bitter'}"
80,80.0,1130,thiamine,{'bitter'}
81,81.0,1136,4-Methyl-5-Thiazoleethanol,"{'fatty', 'sulfur', 'cooked beef juice'}"
82,82.0,1140,toluene,"{'paint', 'sweet'}"
83,83.0,1146,trimethylamine,"{'rancid', 'fruity', 'sweaty', 'fishy', 'oily', 'fish'}"
84,84.0,1182,DL-Valine,{'odorless'}
85,85.0,1183,vanillin,"{'sweet', 'vanilla', 'creamy', 'chocolate'}"
86,86.0,1213,"4a(2H)-Naphthol, octahydro-4,8a-dimethyl-","{'fresh', 'earthy', 'earth', 'musty', 'beet', 'soil'}"
87,87.0,1491,"2,4-dihydroxybenzoic acid","{'mild', 'phenolic'}"
88,88.0,1889,DL-Liquiritigenin,{'bitter'}
89,89.0,2214,Acetovanillone,"{'sweet', 'faint', 'vanilla', 'vanillin'}"
90,90.0,2345,Benzyl Benzoate,"{'sweet', 'strawberry', 'cherry', 'pineapple', 'balsamic', 'oily', 'balsam', 'herb', 'cheese', 'herbal', 'almond', 'oil', 'faint'}"
91,91.0,2346,benzyl isothiocyanate,"{'mild', 'medicinal', 'watercress', 'horseradish', 'oily', 'dusty'}"
92,92.0,2519,caffeine,"{'odorless', 'bitter'}"
93,93.0,2682,1-Hexadecanol,"{'waxy', 'floral', 'flower', 'wax'}"
94,94.0,2757,Cinchonidine,{'bitter'}
95,95.0,2758,Eucalyptol,"{'sweet', 'mint', 'pepper', 'herbal', 'eucalyptus', 'camphor'}"
96,96.0,2879,P-Cresol,"{'medicinal', 'medicine', 'phenol', 'narcissus', 'animal', 'phenolic', 'smoke', 'mimosa'}"
97,97.0,2969,Decanoic acid,"{'rancid', 'fat', 'unpleasant', 'sour', 'citrus', 'fatty'}"
98,98.0,2998,Nonivamide,"{'bland', 'odorless'}"
99,99.0,3026,dibutyl phthalate,{'faint'}
100,100.0,3102,Benzophenone,"{'apricot', 'peach', 'metallic', 'powdery', 'balsam', 'rose', 'geranium'}"
101,101.0,3314,eugenol,"{'sweet', 'honey', 'cinnamon', 'spicy', 'clove', 'woody'}"
102,102.0,3473,gingerol,{'pungent'}
103,103.0,3776,isopropanol,"{'musty', 'woody', 'bitter', 'alcohol'}"
104,104.0,3879,lanatoside C,"{'metallic', 'fatty'}"
105,105.0,3893,lauric acid,"{'mild', 'metal', 'coconut', 'fatty', 'bay oil'}"
106,106.0,4114,methoxsalen,{'bitter'}
107,107.0,4133,methyl salicylate,"{'peppermint', 'wintergreen', 'mint'}"
108,108.0,4276,Myristicin,"{'spice', 'warm', 'balsamic', 'balsam', 'woody'}"
109,109.0,4453,"1-(4-{[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]oxy}-2,6-dihydroxyphenyl)-3-(3-hydroxy-4-methoxyphenyl)propan-1-one","{'bland', 'sweet-like'}"
110,110.0,4650,p-benzoquinone,{''}
111,111.0,4680,papaverine,{'bitter'}
112,112.0,4788,phloretin,"{'odorless', 'bitter'}"
113,113.0,4947,propyl gallate,"{'bland', 'bitter'}"
114,114.0,5054,resorcinol,"{'nutty', 'creamy', 'phenolic', 'hawthorn', 'musty'}"
115,115.0,5144,safrole,"{'sweet', 'anise', 'spice', 'sassafrass', 'floral', 'warm', 'spicy', 'woody'}"
116,116.0,5281,stearic acid,"{'mild', 'fatty', 'odorless'}"
117,117.0,5429,theobromine,{'bitter'}
118,118.0,5541,triacetin,"{'mild', 'tropical', 'bitter', 'fruity', 'clean'}"
119,119.0,5610,tyramine,"{'mild', 'dirty', 'phenolic', 'rubbery', 'meaty', 'cooked'}"
120,120.0,5634,10-Undecenoic Acid,"{'sweet', 'woody'}"
121,121.0,5780,D-Sorbitol,"{'caramel', 'sweet', 'odorless'}"
122,122.0,5862,L-cysteine,{'sulfury'}
123,123.0,5960,L-aspartic acid,{'odorless'}
124,124.0,5962,L-lysine,{'odorless'}
125,125.0,5971,Allyl Isothiocyanate,"{'mustard', 'garlic', 'pungent', 'bitter', 'sulfur', 'strong'}"
126,126.0,6050,Tributyrin,"{'creamy', 'bitter', 'cheese', 'waxy', 'fatty'}"
127,127.0,6054,2-Phenylethanol,"{'spice', 'rose dried', 'honey', 'floral', 'lilac', 'bitter', 'rose', 'rose water', 'rose flower'}"
128,128.0,6072,Phlorizin,{'bitter'}
129,129.0,6140,L-phenylalanine,"{'odorless', 'bitter'}"
130,130.0,6184,Hexanal,"{'green', 'fresh', 'leafy', 'aldehydic', 'fat', 'fruity', 'grass', 'sweaty', 'tallow', 'fatty'}"
131,131.0,6202,Thiamine Hydrochloride,"{'mild', 'sour', 'bitter'}"
132,132.0,6213,Dimethyl sulfone,"{'burnt', 'sulfur', 'sulfurous'}"
133,133.0,6251,D-mannitol,"{'sweet', 'odorless'}"
134,134.0,6274,L-histidine,"{'odorless', 'bitter'}"
135,135.0,6276,1-Pentanol,"{'sweet', 'vanilla', 'balsam', 'balsamic', 'fusel', 'oil'}"
136,136.0,6322,L-arginine,{'faint'}
137,137.0,6341,Ethanamine,"{'ammonia', 'fishy'}"
138,138.0,6343,Ethanethiol,"{'fruity', 'sulfurous'}"
139,139.0,6344,Dichloromethane,{''}
140,140.0,6354,Oxirane,{''}
141,141.0,6363,Isopropylamine,"{'fishy', 'ammoniacal'}"
142,142.0,6364,2-Propanethiol,"{'gassy', 'onion', 'ripe', 'strong', 'meaty', 'sulfurous'}"
143,143.0,6405,2-Methyl-2-Butanol,{'pungent'}
144,144.0,6448,Bornyl Acetate,"{'sweet', 'spice', 'fresh', 'balsamic', 'herbal', 'pine', 'cedar', 'pine needle', 'woody', 'camphor'}"
145,145.0,6493,3-Methyl-3-Pentanol,"{'leafy', 'powerful', 'green', 'fruity'}"
146,146.0,6506,Triethyl Citrate,"{'mild', 'bitter', 'fruity', 'wine', 'odorless'}"
147,147.0,6532,Linalyl isobutyrate,"{'light', 'lavender', 'fruity', 'bergamot', 'woody'}"
148,148.0,6544,Isophorone,"{'sweet', 'tobacco', 'cedarwood', 'green', 'leather', 'cooling', 'fruity', 'musty', 'woody', 'camphoraceous', 'camphor'}"
149,149.0,6548,Tetrahydrolinalool,"{'lily', 'floral', 'bois de rose', 'lilac', 'tea', 'oily', 'woody'}"
150,150.0,6549,Linalool,"{'lemon', 'sweet', 'green', 'lavender', 'floral', 'blueberry', 'bois de rose', 'orange', 'flower', 'citrus', 'woody'}"
151,151.0,6558,Isobutylamine,"{'fishy', 'cheesy'}"
152,152.0,6560,2-Methyl-1-propanol,"{'ether', 'solvent', 'wine', 'bitter'}"
153,153.0,6561,Isobutyraldehyde,"{'green', 'fresh', 'pungent', 'floral', 'malt', 'aldehydic'}"
154,154.0,6568,2-Butanol,"{'oily', 'sweet', 'wine', 'apricot'}"
155,155.0,6569,2-Butanone,"{'acetone', 'ether', 'fruity', 'ethereal', 'camphor'}"
156,156.0,6584,Methyl Acetate,"{'ether', 'sweet', 'bitter', 'fruity'}"
157,157.0,6590,Isobutyric Acid,"{'rancid', 'strawberry', 'butter', 'cheese'}"
158,158.0,6616,Camphene,"{'fir needle', 'herbal', 'woody', 'camphor'}"
159,159.0,6654,Alpha-Pinene,"{'sweet', 'minty', 'turpentine', 'fresh', 'pine', 'earthy', 'terpene', 'harsh', 'woody', 'camphor'}"
160,160.0,6660,80-71-7,"{'caramel', 'smoky', 'maple syrup', 'maple'}"
161,161.0,6736,3-Methylindole,"{'fecal', 'indole', 'civet', 'mothball', 'animal', 'very strong'}"
162,162.0,6781,Diethyl Phthalate,{'bitter'}
163,163.0,6782,Diisobutyl Phthalate,{''}
164,164.0,6826,Methyl 2-(methylamino)benzoate,"{'sweet', 'grape', 'powdery', 'fruity', 'blossom', 'orange', 'phenolic', 'neroli', 'wine', 'musty'}"
165,165.0,6874,Isoamyl salicylate,"{'tobacco', 'floral', 'metallic', 'bitter', 'herbal', 'orchid', 'soapy', 'wintergreen', 'woody'}"
166,166.0,6877,Ethyl 2-aminobenzoate,"{'sweet', 'grape', 'floral', 'blossom', 'orange blossom', 'wintergreen'}"
167,167.0,6915,2-Ethylbutyric Acid,"{'berry', 'caramel', 'whiskey', 'fruity', 'sour', 'acidic', 'dry'}"
168,168.0,6919,2-Furoic Acid,{'odorless'}
169,169.0,6920,2-Acetylthiophene,"{'sulfury', 'sulfur'}"
170,170.0,6943,2-Isopropylphenol,"{'medicinal', 'phenolic', 'creosote'}"
171,171.0,6949,Guaiene,"{'sweet', 'spice', 'guaiacwood', 'powdery', 'spicy', 'woody', 'wood', 'dry'}"
172,172.0,6985,"2',4'-Dimethylacetophenone","{'sweet', 'minty', 'floral', 'woody', 'mimosa'}"
