,Unnamed: 0.1,Unnamed: 0,entity id,alias,synonyms,scientific name,category,molecules
10,10.0,10.0,11,brandy,"{'pisco', 'konyak ', 'stravencchio', ' kanyak', 'armagnac', 'cognac'}",vitis vinifera,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
11,11.0,11.0,12,anise brandy,{'brandy'},anise,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
12,12.0,12.0,13,apple brandy,{'anise brandy'},apple,beverage alcoholic,"{62465, 10885, 9862, 1031, 263, 8073, 5364231, 5281167, 31249, 8468, 14228, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 9895, 5364778, 8748, 20653, 5364399, 7344, 31284, 6584, 5363388, 957, 8892, 638014, 10430, 7361, 7362, 637758, 7749, 326, 61384, 61386, 460, 7501, 14286, 8908, 10448, 7761, 7762, 8025, 7772, 83036, 7775, 10976, 8038, 7654, 16617, 7658, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 31225, 379, 7165, 126, 16255}"
13,13.0,13.0,14,armagnac brandy,{'armanac brandy'},vitis vinifera,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
14,14.0,14.0,15,blackberry brandy,{'brackberry brandy'},blackberry,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 177, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
15,15.0,15.0,16,cherry brandy,{'cherry brandy'},prunus,beverage alcoholic,"{62465, 263, 5364231, 8073, 31249, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 7165, 126}"
16,16.0,16.0,17,cognac brandy,{'cognac brandy'},vitis,beverage alcoholic,"{62465, 12293, 5364231, 5283335, 1031, 31242, 5283339, 1032, 527, 31249, 31251, 1049, 31260, 7710, 7711, 31265, 8738, 4133, 12327, 7720, 9256, 5364778, 10795, 8748, 31276, 15406, 31283, 31289, 638014, 7749, 5284421, 110664, 5319754, 12366, 12367, 7761, 7762, 7765, 8792, 15448, 83036, 7772, 61020, 7775, 612, 107, 1136, 20083, 7795, 7284, 17525, 7799, 7800, 7797, 10362, 8314, 444539, 11902, 126, 10883, 24197, 1550470, 9862, 135, 520326, 650, 10885, 61586, 61592, 5284507, 1183, 5281, 20653, 7342, 5364399, 7344, 14514, 5363388, 8892, 10430, 3776, 7361, 14529, 98497, 7362, 445639, 5324489, 17100, 10957, 5364941, 8908, 10448, 11468, 7895, 5321950, 61663, 10976, 61665, 7909, 16617, 643820, 7409, 12529, 11508, 11005, 6321405, 11520, 11527, 263, 12041, 7945, 18698, 102667, 8468, 7957, 284, 11552, 15654, 8500, 3893, 5366074, 5282108, 7997, 637758, 12097, 325, 326, 17739, 332, 170833, 10582, 8025, 61275, 8038, 11622, 61293, 19310, 8048, 880, 22386, 8051, 8052, 9589, 61814, 379, 569214, 16255, 8063, 13187, 7043, 7559, 8073, 18827, 12178, 2969, 5318042, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 62374, 12209, 62900, 6584, 12729, 8122, 957, 6590, 8129, 24516, 5318599, 12232, 61384, 61386, 8139, 460, 246728, 14286, 8655, 1549778, 24020, 12756, 985, 8158, 11747, 996, 8163, 7654, 7655, 999, 998, 7658, 8167, 7150, 7151, 8174, 8180, 62453, 5283316, 8186}"
17,17.0,17.0,18,papaya brandy,{'papaya brandy'},papaya,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 7749, 326, 61386, 460, 14286, 7762, 8025, 12508, 10976, 8038, 7654, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
18,18.0,18.0,19,pear brandy,"{'tuica', 'rakia', 'pear brandy', 'palinka', 'poire williams'}",pear,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 5281162, 5281167, 31251, 8468, 1049, 5318042, 8091, 31260, 8094, 7711, 6560, 6561, 5362592, 31265, 6054, 12327, 31272, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 5463485, 8892, 638014, 7361, 7362, 10430, 637758, 7749, 326, 61386, 460, 8908, 14286, 7762, 8025, 10976, 5463904, 8038, 7654, 7144, 16617, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126, 16255}"
19,19.0,19.0,20,plum brandy,"{'slivovitz', 'asliwowica', 'tuica', 'schlivowitz', 'plum brandy', 'slivovitsa', 'ljivovica', 'slivovitza'}",damson,beverage alcoholic,"{62465, 263, 1031, 8073, 5364231, 527, 31249, 31251, 8468, 5366038, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 4133, 6054, 12327, 8103, 9256, 20653, 8365, 5364399, 7344, 31284, 16821, 6584, 5363388, 957, 8892, 10430, 3776, 7361, 7362, 637758, 7749, 326, 61386, 460, 7501, 14286, 7800, 637520, 7762, 8025, 12508, 10976, 12257, 16255, 7909, 8038, 7654, 16617, 8042, 7915, 643820, 16237, 19310, 11902, 1136, 22386, 8051, 11124, 9589, 61814, 7797, 8184, 11508, 7802, 379, 126, 8063}"
20,20.0,20.0,21,raspberry brandy,{'raspberry brandy'},rubus idaeus,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 5282108, 8892, 10430, 7361, 7362, 637758, 7749, 326, 61386, 460, 14286, 7762, 8025, 10976, 8038, 7654, 5363817, 11902, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
21,21.0,21.0,22,weinbrand brandy,{'weinbrand brandy'},vitis vinifera,beverage alcoholic,"{62465, 263, 5364231, 8073, 8468, 1049, 5318042, 8091, 8094, 7711, 6560, 6561, 31265, 6054, 12327, 8103, 9256, 20653, 5364399, 7344, 6584, 5363388, 957, 8892, 10430, 637758, 7361, 7362, 24516, 7749, 326, 61386, 460, 14286, 7762, 8025, 1119, 10976, 8038, 7654, 11902, 77932, 643820, 19310, 1136, 8051, 11508, 9589, 61814, 7797, 7800, 379, 126}"
22,22.0,22.0,23,gin,{'gin'},juniperus communis,beverage alcoholic,"{6560, 7460, 8294, 8103, 644104, 1031, 1130, 6054, 643820, 6654, 14896, 31253, 6584, 31289, 6202, 31260, 8094}"
23,23.0,23.0,24,rum,{'rum'},saccharum,beverage alcoholic,"{229888, 62465, 8194, 31234, 229377, 12293, 1031, 644104, 429065, 12810, 61450, 31242, 12813, 1032, 527, 31249, 31251, 31252, 5283349, 31253, 1049, 31260, 7710, 7711, 31265, 4133, 12327, 31272, 9256, 31276, 14896, 31283, 60979, 60983, 31289, 6202, 7749, 5284421, 11335, 7755, 12367, 7762, 7765, 7770, 18522, 83036, 7772, 7775, 1130, 62572, 20083, 7795, 7284, 17525, 7799, 7800, 7797, 8314, 7803, 126, 10882, 10885, 10886, 135, 8842, 62092, 10895, 61586, 8858, 1183, 5281, 9895, 679, 14505, 7341, 8365, 7342, 7344, 177, 14514, 26808, 22201, 8892, 10430, 3776, 7362, 735940, 445639, 17100, 10957, 8908, 1549521, 8914, 7895, 6874, 26334, 10976, 1549026, 16617, 7409, 11508, 11509, 11005, 18686, 7938, 11527, 264, 7945, 18698, 263, 61712, 8468, 16666, 284, 798, 11552, 12580, 7462, 7976, 12587, 3893, 5366074, 5282108, 637758, 2879, 27457, 12613, 17739, 332, 7501, 335, 170833, 338, 6998, 342, 8025, 22873, 8038, 11622, 16237, 878, 22386, 8051, 8052, 379, 569214, 16255, 13187, 12170, 18827, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 6054, 8103, 12209, 62900, 16821, 7095, 6584, 853433, 8122, 957, 6590, 8129, 12230, 454, 61384, 5318599, 61386, 8139, 460, 8655, 24020, 14296, 985, 61400, 8158, 8159, 637920, 11747, 8163, 7655, 7144, 12777, 7658, 12266, 8180, 31225, 31226, 6654}"
24,24.0,24.0,25,whisky,{'whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 644104, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 6202, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 1130, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
25,25.0,25.0,26,bourbon whisky,{'bourbon whisky'},corn,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 14896, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 7895, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 264, 7945, 18698, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 62900, 6584, 8122, 957, 6590, 8129, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 7144, 62445, 8174, 8180, 7165, 6654}"
26,26.0,26.0,27,canadian whisky,{'canadian whisky'},corn,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
27,27.0,27.0,28,finnish whisky,{'finnish whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 1049, 31260, 7710, 7711, 31265, 31268, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 612, 519786, 1136, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 798, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 342, 8038, 19310, 379, 569214, 16255, 7047, 7059, 14228, 8094, 6560, 6561, 6054, 8103, 520108, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
28,28.0,28.0,29,japanese whisky,{'japanese whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1032, 31242, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 11335, 10823, 12366, 7762, 7765, 61015, 612, 519786, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 177, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 6943, 7976, 3893, 5366074, 25915, 5282108, 12613, 7501, 335, 6998, 342, 8038, 19310, 379, 569214, 16255, 7047, 7059, 14228, 8094, 6560, 6561, 6054, 8103, 6584, 8122, 957, 6590, 12230, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
29,29.0,29.0,30,malt whisky,{'malt whisky'},maize,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 85519, 527, 31249, 31251, 31252, 73750, 31260, 7710, 7711, 31265, 12327, 31276, 7728, 31283, 7222, 31289, 638014, 7749, 5284421, 11335, 10823, 12366, 12367, 7761, 7762, 8785, 7765, 61015, 7775, 7267, 612, 519786, 7797, 7799, 7800, 1146, 8314, 7803, 637566, 10882, 10883, 24197, 650, 62092, 445070, 61586, 61592, 1183, 5281, 8365, 7342, 7344, 14514, 7351, 26808, 22201, 8892, 10430, 7361, 7362, 445639, 18635, 8908, 10448, 61137, 26331, 26334, 61663, 61664, 16617, 3314, 11508, 11005, 14079, 61185, 7938, 7937, 7945, 8468, 284, 12580, 7976, 3893, 5366074, 25915, 5282108, 7997, 12613, 17739, 7501, 335, 342, 8038, 19310, 8051, 379, 569214, 16255, 13187, 14228, 8094, 6560, 6561, 6054, 8103, 12209, 6584, 8122, 957, 6590, 12230, 61384, 61386, 460, 8655, 24020, 14296, 985, 8158, 8159, 11747, 996, 7654, 62445, 8174, 8180, 7165}"
30,30.0,30.0,31,scotch whisky,{'scotch'},maize,beverage alcoholic,"{62465, 8193, 12293, 1031, 1032, 31242, 527, 31249, 31251, 31252, 73750, 1049, 31260, 7710, 7711, 31265, 4133, 12327, 31276, 7728, 31283, 31289, 638014, 7749, 5284421, 10823, 12366, 7762, 7765, 61015, 7267, 612, 519786, 7795, 7797, 7799, 7800, 1146, 8314, 637566, 10882, 650, 62092, 445070, 61586, 1183, 5281, 8365, 7342, 7344, 177, 8375, 26808, 22201, 7351, 8892, 10430, 3776, 7361, 7362, 445639, 8908, 61137, 26331, 26334, 16617, 3314, 11508, 11005, 7937, 7938, 7945, 8468, 284, 7976, 3893, 5366074, 25915, 5282108, 2879, 12613, 7501, 5365069, 335, 342, 8038, 61293, 19310, 22386, 379, 569214, 8063, 16255, 7047, 14228, 8094, 6560, 6561, 6054, 8103, 12209, 62900, 6584, 8122, 957, 6590, 12230, 12232, 61386, 460, 8655, 24020, 14296, 985, 8158, 11747, 996, 7654, 7144, 62445, 8174, 8180, 7165}"
31,31.0,31.0,32,wine,{'wine'},grape,beverage alcoholic,"{62465, 1031, 644104, 31242, 527, 31251, 73750, 5372954, 31260, 7710, 31265, 18467, 5280804, 12327, 65064, 7720, 1068, 31276, 31289, 6202, 65084, 442428, 638014, 8768, 7749, 72, 12366, 7762, 72276, 72277, 5280343, 602, 5280863, 7775, 612, 8294, 1130, 62572, 20083, 7795, 7797, 7799, 7800, 126, 10882, 10883, 1550470, 135, 7302, 650, 7824, 102550, 61592, 10393, 1183, 7341, 7342, 7344, 179, 180, 7351, 5280443, 5363388, 8892, 10430, 5280445, 3776, 7361, 7362, 17100, 8908, 10448, 8914, 10976, 61664, 445154, 1549026, 16617, 643820, 753, 3314, 11508, 247, 6428929, 11527, 12041, 7945, 8468, 5366038, 11552, 12587, 3893, 5366074, 7997, 637758, 12613, 6985, 332, 7501, 637775, 338, 22873, 8038, 9064, 19310, 8051, 5281654, 379, 569214, 16255, 5275520, 107905, 13187, 18827, 6544, 5281168, 14228, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 12206, 12209, 62900, 6584, 8635, 957, 6590, 222656, 8129, 12232, 460, 6440397, 16220110, 8655, 439246, 12756, 11732, 14296, 985, 8158, 11747, 7654, 999, 998, 1001, 7658, 68077, 5366264}"
32,32.0,32.0,33,bilberry wine,{'bilberry wine'},vaccinium myrtillus,beverage alcoholic,"{62465, 1031, 31242, 527, 31251, 73750, 31260, 7710, 31265, 18467, 12327, 7720, 1068, 31276, 31289, 638014, 7749, 12366, 7761, 7762, 602, 7775, 612, 8294, 62572, 20083, 7795, 7797, 7799, 7800, 126, 10882, 10883, 24197, 1550470, 135, 7302, 650, 7824, 102550, 61592, 1183, 7341, 7342, 7344, 179, 180, 7351, 5363388, 8892, 10430, 3776, 7361, 7362, 17100, 8908, 10448, 8914, 10976, 61664, 1549026, 16617, 643820, 753, 3314, 11508, 6428929, 11527, 12041, 7945, 5366038, 11552, 12587, 3893, 5366074, 7997, 637758, 12613, 6985, 332, 7501, 338, 22873, 8038, 19310, 8051, 379, 569214, 16255, 5275520, 13187, 18827, 6544, 5281168, 14228, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 12206, 12209, 62900, 6584, 8635, 957, 6590, 222656, 8129, 12232, 460, 16220110, 8655, 12756, 11732, 14296, 985, 8158, 11747, 7654, 999, 998, 1001, 7658, 5366264}"
33,33.0,33.0,34,botrytized wine,{'botrytized wine'},grape,beverage alcoholic,"{229888, 62465, 1031, 31242, 527, 31251, 73750, 31260, 7710, 31265, 18467, 1060, 12327, 7720, 1068, 31276, 31289, 638014, 7749, 12366, 7762, 602, 7775, 612, 8294, 62572, 20083, 7795, 7797, 7799, 7800, 126, 10882, 10883, 1550470, 135, 7302, 650, 7824, 102550, 61592, 1183, 7341, 7342, 7344, 179, 180, 7351, 5363388, 8892, 10430, 3776, 7361, 7362, 17100, 8908, 10448, 8914, 10976, 61664, 1549026, 16617, 643820, 753, 3314, 11508, 6428929, 11527, 12041, 7945, 5366038, 11552, 7456, 12587, 3893, 5366074, 7997, 637758, 12613, 6985, 332, 7501, 338, 22873, 8038, 19310, 8051, 62835, 379, 569214, 16255, 5275520, 13187, 18827, 6544, 5281168, 14228, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 12206, 12209, 62900, 6584, 8635, 957, 6590, 222656, 8129, 12232, 61384, 460, 16220110, 8655, 12756, 11732, 14296, 985, 8158, 11747, 7654, 999, 998, 1001, 7658, 5366264}"
34,34.0,34.0,35,champagne,{'champagne'},grape,beverage alcoholic,"{62465, 1031, 31242, 527, 31251, 73750, 31260, 7710, 31265, 18467, 12327, 7720, 1068, 31276, 31289, 638014, 7749, 12366, 7762, 602, 7775, 612, 8294, 62572, 20083, 7795, 7797, 7799, 7800, 126, 10882, 10883, 1550470, 135, 7302, 650, 7824, 102550, 61592, 1183, 7341, 7342, 7344, 179, 180, 7351, 5363388, 8892, 10430, 3776, 7361, 7362, 17100, 8908, 10448, 8914, 10976, 61664, 1549026, 16617, 643820, 753, 3314, 11508, 6428929, 11527, 12041, 7945, 5366038, 11552, 12587, 3893, 5366074, 7997, 637758, 12613, 6985, 332, 7501, 338, 22873, 8038, 19310, 8051, 379, 569214, 16255, 5275520, 13187, 18827, 6544, 5281168, 14228, 6549, 2969, 8091, 8093, 8094, 6560, 6561, 7590, 8103, 6054, 12206, 12209, 62900, 6584, 8635, 957, 6590, 222656, 8129, 12232, 460, 16220110, 8655, 12756, 11732, 14296, 985, 8158, 11747, 7654, 999, 998, 1001, 7658, 5366264}"
35,35.0,35.0,36,cider,{'cider'},apple,beverage alcoholic,"{229888, 62465, 12293, 1031, 1032, 31242, 61455, 31249, 31260, 7711, 8738, 31272, 31276, 7749, 7761, 7762, 8792, 7772, 83036, 7775, 612, 7795, 17525, 7799, 61048, 7800, 8314, 7803, 10882, 24197, 10886, 9862, 520326, 7302, 10895, 7824, 7351, 10430, 7362, 445639, 8908, 10448, 753, 11508, 61185, 263, 264, 7945, 284, 3893, 5366074, 7997, 12613, 332, 7501, 22873, 8038, 22386, 8052, 379, 20861, 8063, 16255, 14228, 6549, 8091, 6560, 6561, 5791138, 61346, 7590, 8103, 6054, 12209, 6584, 957, 6590, 454, 61384, 24020, 11732, 7654, 7655, 999, 7658, 31225, 7165}"
